               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,  train/topleft_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,    val/topleft_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.037153,            0.020076,           0.0064167,            0.091288,            0.024435,             0.91497,             0.94624,             0.96029,              0.5969,            0.026462,            0.016332,           0.0038047,            0.092489,            0.020573,           0.0091912,           0.0091912,           0.0091912
                 105,            0.036454,            0.019672,           0.0063882,            0.091243,            0.024384,             0.93667,             0.91691,             0.95913,             0.60035,            0.026069,            0.016169,           0.0035187,            0.091326,            0.020624,            0.009176,            0.009176,            0.009176
                 106,            0.036805,            0.019509,           0.0060911,             0.09218,            0.024628,             0.94284,             0.91146,              0.9547,             0.59351,             0.02616,            0.016175,           0.0038642,             0.09189,            0.021304,           0.0091606,           0.0091606,           0.0091606
                 107,            0.037181,            0.020087,           0.0060344,            0.091229,             0.02403,             0.91587,             0.93373,             0.95392,             0.59751,            0.026378,            0.016245,           0.0038918,            0.092211,            0.020525,           0.0091452,           0.0091452,           0.0091452
                 108,            0.037488,            0.019873,           0.0063739,            0.091151,            0.023772,             0.92334,             0.92876,             0.95451,             0.59735,            0.026643,             0.01639,           0.0033576,            0.092914,            0.020809,           0.0091296,           0.0091296,           0.0091296
                 109,             0.03675,            0.019893,           0.0063948,            0.090913,            0.024252,             0.93364,             0.91057,             0.95518,             0.59655,            0.026191,             0.01635,           0.0037394,            0.091502,            0.020462,           0.0091138,           0.0091138,           0.0091138
                 110,             0.03695,            0.019873,           0.0063239,            0.091019,            0.024087,             0.94402,             0.91399,             0.95393,             0.60103,            0.026323,            0.016257,           0.0040454,            0.092029,            0.020236,            0.009098,            0.009098,            0.009098
                 111,            0.037002,            0.019918,           0.0062541,            0.090892,            0.023962,             0.94956,             0.89434,             0.95518,              0.6075,            0.026239,            0.016085,           0.0039661,             0.09115,            0.020872,           0.0090821,           0.0090821,           0.0090821
                 112,            0.036897,            0.019597,            0.006323,            0.090926,            0.024273,             0.94331,              0.8987,             0.95244,             0.59852,            0.026376,            0.016252,            0.003569,            0.092151,             0.02081,            0.009066,            0.009066,            0.009066
                 113,            0.036786,            0.019565,           0.0062999,            0.090493,            0.024482,              0.9516,             0.90736,             0.95597,             0.60198,            0.026281,            0.015975,           0.0036481,            0.092372,             0.02102,           0.0090498,           0.0090498,           0.0090498
